AP_MAC,AP_NAME,AP_ADDRESS,AP_LOCATION
70:b3:17:52:90:32,MSK-V19-FL01-RECEPTION-AP.9032,10.14.30.10,"г.Москва, ул. Вавилова 19, корп. А,"
f4:db:e6:f1:36:e2,MSK-V19-FL01-SBERSHOP-AP.36E2,10.14.30.9,"г.Москва, ул. Вавилова 19, корп. А,"
bc:26:c7:18:b0:7a,V19-A-FL21-AP.B07A,10.14.17.104,"г.Москва, ул. Вавилова 19, корп. А, этаж 21"
b0:8b:cf:79:5b:a0,V19-A-FL20-AP.5BA0,10.14.17.68,"г.Москва, ул. Вавилова 19, корп. А, этаж 20"
2c:33:11:80:79:5e,V19-A-FL01-AP08-CH,10.14.17.54,"г.Москва, ул. Вавилова 19, корп. А, этаж 1"
b0:8b:cf:e9:5e:2a,V19-A-FL20-AP.5E2A,10.14.17.69,"г.Москва, ул. Вавилова 19, корп. А, этаж 20"
2c:33:11:ed:4c:ce,V19-A-FL01-AP10-HL,10.14.17.2,"г.Москва, ул. Вавилова 19, корп. А, этаж 1"
bc:26:c7:18:a9:60,V19-A-FL21-AP.A960,10.14.17.97,"г.Москва, ул. Вавилова 19, корп. А, этаж 21"
b0:8b:cf:79:5b:98,V19-A-FL20-AP.5B98,10.14.17.72,"г.Москва, ул. Вавилова 19, корп. А, этаж 20"
bc:26:c7:18:e1:30,V19-A-FL20-AP.E130,10.14.17.66,"г.Москва, ул. Вавилова 19, корп. А, этаж 20"
bc:26:c7:18:ad:e0,V19-A-FL21-AP.ADE0,10.14.17.113,"г.Москва, ул. Вавилова 19, корп. А, этаж 21"
b0:8b:cf:f9:26:10,V19-A-FL21-AP.2610,10.14.17.106,"г.Москва, ул. Вавилова 19, корп. А, этаж 21"
b0:8b:cf:e9:2e:5e,V19-A-FL21-AP.2E5E,10.14.17.107,"г.Москва, ул. Вавилова 19, корп. А, этаж 21"
2c:33:11:85:db:be,V19-A-FL25-AP.DBBE-BR,10.14.17.171,"г.Москва, ул. Вавилова 19, корп. А, этаж 25"
50:2f:a8:b7:22:70,V19-A-FL20-AP.2270,10.14.17.73,"г.Москва, ул. Вавилова 19, корп. А, этаж 20"
b0:8b:cf:b9:d0:9c,V19-A-FL21-AP.D09C,10.14.17.109,"г.Москва, ул. Вавилова 19, корп. А, этаж 21"
78:0c:f0:2d:ec:ae,V19-A-FL26-AP.ecae,10.14.17.163,"г.Москва, ул. Вавилова 19, корп. А, этаж 26"
bc:26:c7:18:b0:74,V19-A-FL21-AP.B074,10.14.17.112,"г.Москва, ул. Вавилова 19, корп. А, этаж 21"
b0:8b:cf:79:56:20,V19-A-FL21-AP.5620,10.14.17.103,"г.Москва, ул. Вавилова 19, корп. А, этаж 21"
a0:93:51:ec:a7:c0,V19-A-FL25-AP.A7C0-GO,10.14.26.2,"г.Москва, ул. Вавилова 19, корп. А, этаж 25"
b0:8b:cf:f9:26:0c,V19-A-FL20-AP.260C,10.14.17.71,"г.Москва, ул. Вавилова 19, корп. А, этаж 20"
b0:8b:cf:b9:d2:c8,V19-A-FL20-AP.D2C8,10.14.17.67,"г.Москва, ул. Вавилова 19, корп. А, этаж 20"
2c:33:11:80:79:b0,V19-A-FL23-AP.79b0,10.14.17.147,"г.Москва, ул. Вавилова 19, корп. А, этаж 23"
2c:33:11:85:e2:a4,V19-A-FL01-AP08-HL,10.14.17.56,"г.Москва, ул. Вавилова 19, корп. А, этаж 1"
b0:8b:cf:79:5b:ae,V19-A-FL20-AP.5BAE,10.14.17.70,"г.Москва, ул. Вавилова 19, корп. А, этаж 20"
a0:f8:49:e6:29:40,V19-A-FL03-AP.2940,10.14.16.4,"г.Москва, ул. Вавилова 19, корп. А, этаж 3"
2c:33:11:85:e2:9e,V19-A-FL01-AP11-HL,10.14.17.8,"г.Москва, ул. Вавилова 19, корп. А, этаж 1"
2c:33:11:80:79:78,V19-A-FL01-AP03-PL,10.14.17.53,"г.Москва, ул. Вавилова 19, корп. А, этаж 1"
a0:f8:49:e6:27:38,V19-A-FL04-AP.2738,10.14.16.37,"г.Москва, ул. Вавилова 19, корп. А, этаж 4"
a0:f8:49:e6:44:68,V19-A-FL03-AP.4468,10.14.16.3,"г.Москва, ул. Вавилова 19, корп. А, этаж 3"
bc:26:c7:18:ad:e2,V19-A-FL20-AP.ADE2,10.14.17.74,"г.Москва, ул. Вавилова 19, корп. А, этаж 20"
a0:f8:49:e6:15:c0,V19-A-FL04-AP.15C0,10.14.16.39,"г.Москва, ул. Вавилова 19, корп. А, этаж 4"
40:ce:24:a4:6a:1c,V19-A-FL23-AP.6A1C,10.14.17.148,"г.Москва, ул. Вавилова 19, корп. А, этаж 23"
a0:f8:49:e6:26:d8,V19-A-FL04-AP.26D8,10.14.16.40,"г.Москва, ул. Вавилова 19, корп. А, этаж 4"
