MSK-V19-FL01-RECEPTION-AP.9032, 70:b3:17:52:90:32, 10.14.30.10 
MSK-V19-FL01-SBERSHOP-AP.36E2, f4:db:e6:f1:36:e2, 10.14.30.9 
V19-A-FL21-AP.B07A, bc:26:c7:18:b0:7a, 10.14.17.104 
V19-A-FL20-AP.5BA0, b0:8b:cf:79:5b:a0, 10.14.17.68 
V19-A-FL01-AP08-CH, 2c:33:11:80:79:5e, 10.14.17.54 
V19-A-FL20-AP.5E2A, b0:8b:cf:e9:5e:2a, 10.14.17.69 
V19-A-FL01-AP10-HL, 2c:33:11:ed:4c:ce, 10.14.17.2 
V19-A-FL21-AP.A960, bc:26:c7:18:a9:60, 10.14.17.97 
V19-A-FL20-AP.5B98, b0:8b:cf:79:5b:98, 10.14.17.72 
V19-A-FL20-AP.E130, bc:26:c7:18:e1:30, 10.14.17.66 
V19-A-FL21-AP.ADE0, bc:26:c7:18:ad:e0, 10.14.17.113 
V19-A-FL21-AP.2610, b0:8b:cf:f9:26:10, 10.14.17.106 
V19-A-FL21-AP.2E5E, b0:8b:cf:e9:2e:5e, 10.14.17.107 
V19-A-FL25-AP.DBBE-BR, 2c:33:11:85:db:be, 10.14.17.171 
V19-A-FL20-AP.2270, 50:2f:a8:b7:22:70, 10.14.17.73 
V19-A-FL21-AP.D09C, b0:8b:cf:b9:d0:9c, 10.14.17.109 
V19-A-FL26-AP.ecae, 78:0c:f0:2d:ec:ae, 10.14.17.163 
V19-A-FL21-AP.B074, bc:26:c7:18:b0:74, 10.14.17.112 
V19-A-FL21-AP.5620, b0:8b:cf:79:56:20, 10.14.17.103 
V19-A-FL25-AP.A7C0-GO, a0:93:51:ec:a7:c0, 10.14.26.2 
V19-A-FL20-AP.260C, b0:8b:cf:f9:26:0c, 10.14.17.71 
V19-A-FL20-AP.D2C8, b0:8b:cf:b9:d2:c8, 10.14.17.67 
V19-A-FL23-AP.79b0, 2c:33:11:80:79:b0, 10.14.17.147 
V19-A-FL01-AP08-HL, 2c:33:11:85:e2:a4, 10.14.17.56 
V19-A-FL20-AP.5BAE, b0:8b:cf:79:5b:ae, 10.14.17.70 
V19-A-FL03-AP.2940, a0:f8:49:e6:29:40, 10.14.16.4 
V19-A-FL01-AP11-HL, 2c:33:11:85:e2:9e, 10.14.17.8 
V19-A-FL01-AP03-PL, 2c:33:11:80:79:78, 10.14.17.53 
V19-A-FL04-AP.2738, a0:f8:49:e6:27:38, 10.14.16.37 
V19-A-FL03-AP.4468, a0:f8:49:e6:44:68, 10.14.16.3 
V19-A-FL20-AP.ADE2, bc:26:c7:18:ad:e2, 10.14.17.74 
V19-A-FL04-AP.15C0, a0:f8:49:e6:15:c0, 10.14.16.39 
V19-A-FL23-AP.6A1C, 40:ce:24:a4:6a:1c, 10.14.17.148 
V19-A-FL04-AP.26D8, a0:f8:49:e6:26:d8, 10.14.16.40 
V19-A-FL21-AP.5BB4, b0:8b:cf:79:5b:b4, 10.14.17.105 
V19-A-FL22-AP.4598, 2c:33:11:ed:45:98, 10.14.17.119 
V19-A-FL04-AP.2950, a0:f8:49:e6:29:50, 10.14.16.38 
V19-A-FL04-AP.2748, a0:f8:49:e6:27:48, 10.14.16.33 
V19-A-FL04-AP.29D8, a0:f8:49:e6:29:d8, 10.14.16.41 
V19-A-FL22-AP.0450, a0:f8:49:e6:04:50, 10.14.17.122 
V19-A-FL24-AP.88FE, 78:72:5d:87:88:fe, 10.14.17.139 
AP7872.5D49.D0D4, 78:72:5d:49:d0:d4, 10.14.16.44 
V19-A-FL22-AP.F1A4, 78:72:5d:4e:f1:a4, 10.14.17.99 
V19-A-FL01-AP02-HL, 78:72:5d:4e:f2:08, 10.14.17.35 
V19-A-FL24-AP.A7DA, a0:93:51:ec:a7:da, 10.14.17.134 
V19-A-FL25-AP.B8E4, 78:72:5d:fd:b8:e4, 10.14.17.164 
V19-A-FL03-AP.29B0, a0:f8:49:e6:29:b0, 10.14.16.7 
V19-A-FL21-AP.CD1C, b0:8b:cf:b9:cd:1c, 10.14.17.111 
V19-A-FL01-AP06-CH, 6c:b2:ae:2e:d7:a2, 10.14.17.7 
V19-A-FL03-AP.2928, a0:f8:49:e6:29:28, 10.14.16.2 
V19-A-FL25-AP.D772, 78:72:5d:43:d7:72, 10.14.17.166 
