70:b3:17:0c:a0:4c,70:b3:17:26:c4:c0,MSK-PPK-E-FL05-AP29,10.14.58.216
28:ac:9e:d2:d6:dc,78:0c:f0:0d:5f:20,MSK-PPK-E-FL11-AP40,10.14.52.217
70:b3:17:52:8e:16,70:b3:17:71:06:e0,MSK-PPK-E-FL08-AP40,10.14.55.217
f4:db:e6:ca:22:2a,f4:db:e6:d9:9f:e0,MSK-PPK-E-FL04-AP61,10.14.60.90
70:b3:17:52:91:32,70:b3:17:71:38:a0,MSK-PPK-E-FL13_1-AP37,10.14.50.245
28:ac:9e:04:f7:7e,00:fc:ba:27:7c:40,MSK-PPK-E-FL15_1-AP81,10.14.49.125
70:b3:17:52:91:2c,70:b3:17:71:38:40,MSK-PPK-E-FL13_3-AP81,10.14.51.100
f4:db:e6:e3:b5:2e,70:b3:17:18:8f:40,APF4DB.E6E3.B52E,10.14.49.88
f4:db:e6:c1:b9:da,f4:db:e6:d6:35:a0,MSK-PPK-E-FL13_1-AP26,10.14.50.233
70:b3:17:52:90:36,70:b3:17:71:28:e0,AP70B3.1752.9036,10.14.49.99
f4:db:e6:f1:39:0c,f4:db:e6:f3:59:60,MSK-PPK-E-FL13_1-AP31,10.14.50.239
f4:db:e6:e3:cd:b6,70:b3:17:2a:f3:40,APF4DB.E6E3.CDB6,10.14.49.94
f4:db:e6:e3:bb:84,70:b3:17:18:f4:a0,MSK-PPK-E-FL13_1-AP30,10.14.50.238
70:b3:17:52:91:3c,70:b3:17:71:39:40,MSK-PPK-E-FL15_3-AP32_NEW,10.14.49.235
70:b3:17:41:1c:44,70:b3:17:8e:44:40,MSK-PPK-E-FL15_3-AP37,10.14.49.228
70:b3:17:52:8f:b2,70:b3:17:71:20:a0,MSK-PPK-E-FL07-AP82,10.14.57.25
f4:db:e6:e3:b5:1a,70:b3:17:18:8e:00,APF4DB.E6E3.B51A,10.14.49.93
f4:db:e6:f1:44:c0,70:b3:17:1b:6e:40,MSK-PPK-E-FL15_3-AP45,10.14.49.248
70:b3:17:52:90:72,70:b3:17:71:2c:a0,MSK-PPK-E-FL15_3-AP31_NEW,10.14.49.237
28:ac:9e:d2:d6:ce,78:0c:f0:0d:5e:40,MSK-PPK-E-FL03_2-AP93,10.14.60.223
70:b3:17:41:1a:f4,70:b3:17:8e:2f:40,MSK-PPK-E-FL15_1-AP86,10.14.49.115
28:ac:9e:15:e1:36,00:fc:ba:53:5a:80,MSK-PPK-E-FL15_1-AP89,10.14.49.119
70:b3:17:a2:8d:40,70:b3:17:98:6d:a0,MSK-PPK-E-FL07-AP40,10.14.56.217
70:b3:17:52:91:3a,70:b3:17:71:39:20,MSK-PPK-E-FL13_1-AP49,10.14.50.247
f4:db:e6:f4:f0:18,f4:db:e6:f8:28:e0,MSK-PPK-E-FL15_1-AP90,10.14.49.120
70:b3:17:a2:99:be,70:b3:17:a9:e8:20,MSK-PPK-E-FL13_1-AP38,10.14.50.243
f4:db:e6:e3:b5:20,70:b3:17:18:8e:60,MSK-PPK-E-FL15_1-AP87,10.14.49.116
f4:db:e6:e3:bb:62,70:b3:17:18:f2:80,APF4DB.E6E3.BB62,10.14.49.90
f4:db:e6:f4:e9:5a,f4:db:e6:f7:bd:00,MSK-PPK-E-FL15_1-AP50,10.14.49.106
f4:db:e6:f1:41:2c,70:b3:17:1b:35:00,MSK-PPK-E-FL11-AP80,10.14.53.24
70:b3:17:41:1c:3e,70:b3:17:8e:43:e0,MSK-PPK-E-FL13_1-AP45,10.14.50.230
70:b3:17:52:8f:9e,70:b3:17:71:1f:60,MSK-PPK-E-FL15_3-AP20,10.14.49.245
70:b3:17:41:1b:50,70:b3:17:8e:35:00,MSK-PPK-E-FL15_1-AP60,10.14.49.112
70:b3:17:41:1a:64,70:b3:17:8e:26:40,MSK-PPK-E-FL13_1-AP46,10.14.50.248
f4:db:e6:e3:a6:72,70:b3:17:01:ac:a0,APF4DB.E6E3.A672,10.14.49.86
70:b3:17:41:1a:6c,70:b3:17:8e:26:c0,AP70B3.1741.1A6C,10.14.49.87
2c:33:11:80:79:b8,f8:0b:cb:f3:55:40,MSK-PPK-E-FL16_2-AP38,10.14.49.7
f4:db:e6:c1:b9:d0,f4:db:e6:d6:35:00,MSK-PPK-E-FL09-AP19,10.14.54.151
2c:33:11:85:df:84,f8:0b:cb:d1:18:e0,MSK-PPK-E-FL02-AP71-CH,10.14.61.14
2c:33:11:85:e2:a6,f8:0b:cb:d1:4b:00,MSK-PPK-E-FL02-AP63-CH,10.14.61.11
70:b3:17:a2:8d:0c,70:b3:17:98:6a:60,MSK-PPK-E-FL15_3-AP42,10.14.49.225
70:b3:17:52:a7:9a,70:b3:17:9c:ed:20,MSK-PPK-E-FL13_1-AP29,10.14.50.237
70:b3:17:52:8e:0e,70:b3:17:71:06:60,MSK-PPK-E-FL15_3-AP27,10.14.49.240
70:70:8b:0c:5b:e0,70:69:5a:ee:c2:60,MSK-PPK-E-FL01-AP.5BE0,10.14.61.9
f4:db:e6:e3:cd:ac,70:b3:17:2a:f2:a0,MSK-PPK-E-FL14_3-AP65,10.14.50.165
4c:77:6d:e1:f5:3e,28:ac:9e:75:62:20,MSK-PPK-E-FL14_3-AP64,10.14.50.166
