AP_MAC;AP_name;AP_address;AP_location
"	04b0-e74a-1840";"	UPO12-B01-FL05-AP-17";"	10.14.1.1";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 5
"	04b0-e749-f000";"	UPO12-B01-FL06-AP-03";"	10.14.1.10";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 6
"	8866-3904-0320";"	UPO12-B01-FL02-AP-10";"	10.14.1.100";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	04b0-e749-f020";"	UPO12-B01-FL06-AP-27";"	10.14.1.101";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 6
"	8866-3904-0780";"	UPO12-B01-FL04-AP-26";"	10.14.1.102";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 4
"	0425-c58b-96c0";"	UPO12-B01-FL05-AP-16";"	10.14.1.103";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 5
"	8866-3904-0300";"	UPO12-B01-FL02-AP-23";"	10.14.1.104";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	745a-aae4-2da0";"	745a-aae4-2da0";"	10.14.1.105";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1
"	04b0-e749-ed80";"	UPO12-B01-FL03-AP-18";"	10.14.1.106";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 3
"	8866-3904-0600";"	8866-3904-0600";"	10.14.1.107";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1
"	04b0-e749-e700";"	UPO12-B01-FL03-AP-06";"	10.14.1.108";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 3
"	8866-3904-25c0";"	UPO12-B01-FL06-AP-24";"	10.14.1.109";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 6
"	04b0-e74a-2160";"	UPO12-B01-FL05-AP-18";"	10.14.1.11";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 5
"	04b0-e749-ec60";"	UPO12-B01-FL04-AP-09";"	10.14.1.110";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 4
"	8866-3904-05a0";"	UPO12-B01-FL06-AP-13";"	10.14.1.111";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 6
"	8866-3903-e220";"	UPO12-B01-FL07-AP-12";"	10.14.1.112";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 7
"	8866-3904-04a0";"	UPO12-B01-FL02-AP-22";"	10.14.1.113";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	8866-3903-fde0";"	8866-3903-fde0";"	10.14.1.114";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1
"	04b0-e749-f080";"	UPO12-B01-FL06-AP-25";"	10.14.1.115";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 6
"	04b0-e74a-20c0";"	UPO12-B01-FL05-AP-06";"	10.14.1.116";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 5
"	8866-3903-e1e0";"	UPO12-B01-FL07-AP-13";"	10.14.1.117";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 7
"	04b0-e74a-2180";"	UPO12-B01-FL05-AP-26";"	10.14.1.118";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 6
"	8866-3904-0fa0";"	UPO12-B01-FL02-AP-26";"	10.14.1.12";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	8866-3904-03e0";"	UPO12-B01-FL06-AP-10";"	10.14.1.120";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 6
"	8866-3904-2060";"	UPO12-B01-FL07-AP-29";"	10.14.1.121";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 7
"	8866-3904-2480";"	UPO12-B01-FL06-AP-22";"	10.14.1.122";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 6
"	8866-3904-0200";"	UPO12-B01-FL02-AP-15";"	10.14.1.123";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	8866-3904-1fc0";"	UPO12-B01-FL07-AP-20";"	10.14.1.124";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 7
"	8866-3904-06e0";"	8866-3904-06e0";"	10.14.1.125";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1
"	8866-3903-f980";"	UPO12-B01-FL02-AP-03";"	10.14.1.126";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	04b0-e749-ec20";"	UPO12-B01-FL03-AP-07";"	10.14.1.127";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 3
"	04b0-e749-efa0";"	UPO12-B01-FL06-AP-01";"	10.14.1.128";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 6
"	8866-3904-2320";"	UPO12-B01-FL03-AP-22";"	10.14.1.129";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 3
"	04b0-e749-ef60";"	UPO12-B01-FL03-AP-19";"	10.14.1.13";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 3
"	8866-3904-0120";"	UPO12-B01-FL02-AP-05";"	10.14.1.130";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	04b0-e749-ec40";"	UPO12-B01-FL03-AP-15";"	10.14.1.131";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 3
"	8866-3904-05e0";"	UPO12-B01-FL02-AP-21";"	10.14.1.132";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	04b0-e74a-1640";"	UPO12-B01-FL05-AP-05";"	10.14.1.133";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 5
"	04b0-e749-e860";"	04b0-e749-e860";"	10.14.1.134";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1
"	8866-3903-e180";"	UPO12-B01-FL07-AP-23";"	10.14.1.135";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 7
"	8866-3904-04e0";"	UPO12-B01-FL04-AP-03";"	10.14.1.136";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 4
"	04b0-e749-e4e0";"	UPO12-B01-FL03-AP-16";"	10.14.1.137";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 3
"	04b0-e74a-1680";"	UPO12-B01-FL05-AP-07";"	10.14.1.138";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 5
"	0425-c58b-97e0";"	UPO12-B01-FL05-AP-01";"	10.14.1.139";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 5
"	8866-3904-0280";"	UPO12-B01-FL02-AP-20";"	10.14.1.14";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 2
"	8866-3904-05c0";"	UPO12-B01-FL07-AP-02";"	10.14.1.140";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 7
"	8866-3904-0880";"	UPO12-B01-FL07-AP-32";"	10.14.1.141";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 7
"	8866-3903-de20";"	UPO12-B01-FL07-AP-24";"	10.14.1.142";г. Москва, пр-д 2-ой Южнопортовый, дом 12а, корп. 1, этаж 7
