70:b3:17:52:90:32,MSK-V19-FL01-RECEPTION-AP.9032,10.14.30.10
f4:db:e6:f1:36:e2,MSK-V19-FL01-SBERSHOP-AP.36E2,10.14.30.9
bc:26:c7:18:b0:7a,V19-A-FL21-AP.B07A,10.14.17.104
b0:8b:cf:79:5b:a0,V19-A-FL20-AP.5BA0,10.14.17.68
2c:33:11:80:79:5e,V19-A-FL01-AP08-CH,10.14.17.54
b0:8b:cf:e9:5e:2a,V19-A-FL20-AP.5E2A,10.14.17.69
2c:33:11:ed:4c:ce,V19-A-FL01-AP10-HL,10.14.17.2
bc:26:c7:18:a9:60,V19-A-FL21-AP.A960,10.14.17.97
b0:8b:cf:79:5b:98,V19-A-FL20-AP.5B98,10.14.17.72
bc:26:c7:18:e1:30,V19-A-FL20-AP.E130,10.14.17.66
bc:26:c7:18:ad:e0,V19-A-FL21-AP.ADE0,10.14.17.113
b0:8b:cf:f9:26:10,V19-A-FL21-AP.2610,10.14.17.106
b0:8b:cf:e9:2e:5e,V19-A-FL21-AP.2E5E,10.14.17.107
2c:33:11:85:db:be,V19-A-FL25-AP.DBBE-BR,10.14.17.171
50:2f:a8:b7:22:70,V19-A-FL20-AP.2270,10.14.17.73
b0:8b:cf:b9:d0:9c,V19-A-FL21-AP.D09C,10.14.17.109
78:0c:f0:2d:ec:ae,V19-A-FL26-AP.ecae,10.14.17.163
bc:26:c7:18:b0:74,V19-A-FL21-AP.B074,10.14.17.112
b0:8b:cf:79:56:20,V19-A-FL21-AP.5620,10.14.17.103
a0:93:51:ec:a7:c0,V19-A-FL25-AP.A7C0-GO,10.14.26.2
b0:8b:cf:f9:26:0c,V19-A-FL20-AP.260C,10.14.17.71
b0:8b:cf:b9:d2:c8,V19-A-FL20-AP.D2C8,10.14.17.67
2c:33:11:80:79:b0,V19-A-FL23-AP.79b0,10.14.17.147
2c:33:11:85:e2:a4,V19-A-FL01-AP08-HL,10.14.17.56
b0:8b:cf:79:5b:ae,V19-A-FL20-AP.5BAE,10.14.17.70
a0:f8:49:e6:29:40,V19-A-FL03-AP.2940,10.14.16.4
2c:33:11:85:e2:9e,V19-A-FL01-AP11-HL,10.14.17.8
2c:33:11:80:79:78,V19-A-FL01-AP03-PL,10.14.17.53
a0:f8:49:e6:27:38,V19-A-FL04-AP.2738,10.14.16.37
a0:f8:49:e6:44:68,V19-A-FL03-AP.4468,10.14.16.3
bc:26:c7:18:ad:e2,V19-A-FL20-AP.ADE2,10.14.17.74
a0:f8:49:e6:15:c0,V19-A-FL04-AP.15C0,10.14.16.39
40:ce:24:a4:6a:1c,V19-A-FL23-AP.6A1C,10.14.17.148
a0:f8:49:e6:26:d8,V19-A-FL04-AP.26D8,10.14.16.40
b0:8b:cf:79:5b:b4,V19-A-FL21-AP.5BB4,10.14.17.105
2c:33:11:ed:45:98,V19-A-FL22-AP.4598,10.14.17.119
a0:f8:49:e6:29:50,V19-A-FL04-AP.2950,10.14.16.38
a0:f8:49:e6:27:48,V19-A-FL04-AP.2748,10.14.16.33
a0:f8:49:e6:29:d8,V19-A-FL04-AP.29D8,10.14.16.41
a0:f8:49:e6:04:50,V19-A-FL22-AP.0450,10.14.17.122
78:72:5d:87:88:fe,V19-A-FL24-AP.88FE,10.14.17.139
78:72:5d:49:d0:d4,AP7872.5D49.D0D4,10.14.16.44
78:72:5d:4e:f1:a4,V19-A-FL22-AP.F1A4,10.14.17.99
a0:93:51:ec:a7:da,V19-A-FL24-AP.A7DA,10.14.17.134
78:72:5d:fd:b8:e4,V19-A-FL25-AP.B8E4,10.14.17.164
a0:f8:49:e6:29:b0,V19-A-FL03-AP.29B0,10.14.16.7
b0:8b:cf:b9:cd:1c,V19-A-FL21-AP.CD1C,10.14.17.111
6c:b2:ae:2e:d7:a2,V19-A-FL01-AP06-CH,10.14.17.7
a0:f8:49:e6:29:28,V19-A-FL03-AP.2928,10.14.16.2
78:72:5d:43:d7:72,V19-A-FL25-AP.D772,10.14.17.166
70:df:2f:6d:6a:ba,V19-A-FL26-AP.6aba,10.14.17.169
50:2f:a8:df:5f:68,V19-A-FL02-AP.5F68,10.14.17.22
78:72:5d:43:d7:9c,V19-A-FL23-AP.D79C,10.14.17.131
78:72:5d:43:d7:76,V19-A-FL23-AP.D776,10.14.17.130
78:72:5d:4e:f1:a0,V19-A-FL25-AP.F1A0-BR,10.14.17.167
78:72:5d:46:68:92,AP7872.5D46.6892,10.14.17.16
bc:26:c7:18:ad:da,V19-A-FL21-AP.ADDA,10.14.17.102
78:72:5d:46:68:82,V19-A-FL23-AP.6882,10.14.17.143
50:2f:a8:df:5f:70,V19-A-FL25-AP.5F70,10.14.17.161
78:72:5d:4e:f2:00,V19-A-FL25-AP.F200-BR,10.14.17.168
78:72:5d:f7:10:ac,V19-A-FL24-AP.10AC,10.14.17.145
a0:93:51:ec:a7:e8,V19-A-FL22-AP.A7E8,10.14.17.100
a0:f8:49:e4:2f:78,V19-A-FL03-AP.2F78,10.14.16.8
78:72:5d:43:d7:62,AP7872.5D43.D762,10.14.17.121
78:72:5d:49:d1:04,V19-A-FL22-AP.D104,10.14.17.115
78:72:5d:43:d7:64,V19-A-FL24-AP.D764,10.14.17.136
70:69:5a:21:6b:10,V19-A-FL24-AP.6B10,10.14.17.137
a0:93:51:ec:a6:c4,V19-A-FL01-AP06-HL,10.14.17.36
50:2f:a8:df:5f:66,AP502F.A8DF.5F66,10.14.17.120
b0:8b:cf:79:56:1a,V19-A-FL21-AP.561A,10.14.17.114
a0:f8:49:e6:21:68,V19-A-FL03-AP.2168,10.14.16.1
78:72:5d:43:d7:96,V19-A-FL22-AP.D796,10.14.17.98
6c:b2:ae:2e:d7:72,V19-A-FL01-AP04-CH,10.14.17.3
50:2f:a8:df:5f:74,V19-A-FL25-AP.5F74-GO,10.14.17.165
78:72:5d:43:d7:68,V19-A-FL25-AP.D768,10.14.17.162
50:2f:a8:df:5d:bc,V19-A-FL23-AP.5DBC,10.14.17.132
a0:f8:49:e6:29:b8,V19-A-FL03-AP.29B8,10.14.16.6
78:72:5d:46:68:8c,V19-A-FL22-AP.688C,10.14.17.116
6c:b2:ae:2e:d7:60,V19-A-FL01-AP01-CH,10.14.17.1
a0:93:51:ec:a7:ea,V19-A-FL01-AP01-HL,10.14.17.11
a0:f8:49:e6:44:90,V19-A-FL03-AP.4490,10.14.16.5
78:72:5d:4e:f2:02,V19-A-FL23-AP.F202,10.14.17.142
70:df:2f:6d:6a:b8,V19-A-FL01-AP07-HL,10.14.17.55
6c:b2:ae:2e:d7:5c,V19-A-FL01-AP07-CH,10.14.17.20
78:72:5d:4e:f1:aa,V19-A-FL22-AP.F1AA,10.14.17.101
6c:b2:ae:2e:d7:6c,V19-A-FL01-AP02-CH,10.14.17.33
78:72:5d:49:d1:02,V19-A-FL24-AP.D102,10.14.17.144
50:2f:a8:df:5f:6a,V19-A-FL01-AP04-HL,10.14.17.41
6c:b2:ae:2e:d7:b2,V19-A-FL01-AP05-CH,10.14.17.4
50:2f:a8:df:5f:6e,AP502F.A8DF.5F6E,10.14.16.43
78:72:5d:4e:f2:10,V19-A-FL01-AP05-HL,10.14.17.39
78:72:5d:43:d7:86,V19-A-FL24-AP.D786,10.14.17.140
78:72:5d:4e:f2:12,V19-A-FL23-AP.F212,10.14.17.129
78:72:5d:46:68:90,V19-A-FL24-AP.6890,10.14.17.146
6c:b2:ae:2e:d8:18,V19-A-FL01-AP03-CH,10.14.17.40
78:72:5d:49:d0:d0,V19-A-FL22-AP.D0D0,10.14.17.108
fc:99:47:c8:34:24,V19-A-FL26-AP.3424,10.14.26.1
b0:8b:cf:e9:2e:70,V19-A-FL20-AP.2E70,10.14.17.65
fc:99:47:a2:17:74,V19-A-02-007-Timonin.1774,10.14.17.34
fc:99:47:a2:1d:03,V19-A-02-008-1d03,10.14.17.37
00:62:ec:f1:43:f0,V19-A-FL22-AP.43F0,10.14.17.149
a0:e0:af:b0:21:98,V19-A-FL25-AP.2198,10.14.17.170
00:81:c4:fb:3a:f0,V19-A-FL01-AP09-HL,10.14.17.18
00:2a:10:6e:67:78,V19-A-FL02-AP.6778,10.14.17.13
00:f6:63:85:68:d4,AP00f6.6385.68d4,10.14.17.9
00:62:ec:1f:fc:ac,V19-A-FL24-AP.FCAC,10.14.17.150
2c:d0:2d:7b:e0:34,V19-A-FL01-AP-?,10.14.17.14
00:81:c4:fb:3a:ec,AP0081.c4fb.3aec,10.14.17.51
00:81:c4:fb:3a:fc,AP0081.c4fb.3afc,10.14.17.57
84:3d:c6:24:b8:68,AP843d.c624.b868,10.14.17.15
00:81:c4:fb:3a:0c,AP0081.c4fb.3a0c,10.14.17.17
2c:d0:2d:57:ae:fc,V19-A-FL01-AP12-HL,10.14.17.19
84:3d:c6:07:44:24,AP843d.c607.4424,10.14.17.58
84:3d:c6:65:12:c8,V19-A-FL20-AP.12C8,10.14.17.75
00:2a:10:6e:67:70,V19-A-FL02-012,10.14.17.38
00:2a:10:6e:67:54,AP002a.106e.6754,10.14.17.42
84:3d:c6:2b:a2:ac,UPM-SC-AP-03,10.14.17.59
00:62:ec:1f:fc:d4,AP0062.ec1f.fcd4,10.14.17.45
00:62:ec:1f:fc:90,AP0062.ec1f.fc90,10.14.17.48
00:81:c4:fb:39:d0,V19-A-FL23-AP.39d0,10.14.17.151
38:90:a5:f4:ee:fc,V19-A-FL04-AP.EEFC,10.14.16.9
38:90:a5:f9:42:90,V19-A-FL04-AP.4290,10.14.16.35
00:81:c4:fb:92:c0,V19-A-FL25-AP.92C0,10.14.17.172
00:2a:10:34:4a:e0,AP002a.1034.4ae0,10.14.17.60
40:01:7a:ee:f1:74,V19-A-FL04-AP.F174,10.14.16.34
