2c:33:11:85:df:7e,MSK-PPK-E-FL16_4-AP84,10.14.48.211
70:69:5a:d2:1a:76,MSK-PPK-E-FL13_2-AP07,10.14.51.37
70:b3:17:0c:8a:2c,MSK-PPK-E-FL13_2-AP05,10.14.51.36
2c:33:11:80:70:88,MSK-V19-A-FL24-VIP-SECR,10.24.71.22
08:96:ad:9d:49:ec,MSK-PPK-E-FL02-AP77-CH,10.14.60.130
2c:33:11:85:db:b8,MSK-PPK-E-FL02-AP76-CH,10.14.60.131
00:fc:ba:75:87:c8,MSK-PPK-E-FL01-AP.87C8,10.14.61.198
70:7d:b9:b4:55:46,MSK-PPK-E-FL01_3-AP.5546,10.14.61.195
f4:db:e6:f1:44:b8,MSK-PPK-E-FL13_3-AP65,10.14.51.108
f4:db:e6:f1:44:c4,MSK-PPK-E-FL13_3-AP76,10.14.51.116
70:b3:17:52:91:2c,MSK-PPK-E-FL13_3-AP81,10.14.51.100
70:b3:17:a2:8d:12,MSK-PPK-E-FL13_1-AP25,10.14.50.236
70:b3:17:52:90:2c,MSK-PPK-E-FL13_2-AP20,10.14.51.32
70:b3:17:52:90:30,MSK-PPK-E-FL13_2-AP17,10.14.51.28
70:b3:17:52:ba:62,MSK-PPK-E-FL13_1-AP44,10.14.50.241
70:b3:17:52:a7:9a,MSK-PPK-E-FL13_1-AP29,10.14.50.237
f4:db:e6:f1:44:ba,MSK-PPK-E-FL13_3-AP75,10.14.51.117
70:b3:17:52:91:32,MSK-PPK-E-FL13_1-AP37,10.14.50.245
70:b3:17:41:18:c4,MSK-PPK-E-FL13_1-AP34,10.14.50.196
70:b3:17:41:1c:2e,MSK-PPK-E-FL13_3-AP72,10.14.51.112
70:69:5a:aa:01:1c,MSK-PPK-E-FL13_3-AP83,10.14.51.101
f4:db:e6:f1:38:da,MSK-PPK-E-FL13_3-AP87,10.14.51.96
70:b3:17:52:90:28,MSK-PPK-E-FL13_3-AP80,10.14.51.120
f4:db:e6:c1:b9:da,MSK-PPK-E-FL13_1-AP26,10.14.50.233
70:b3:17:41:1b:06,MSK-PPK-E-FL13_2-AP15,10.14.51.29
70:b3:17:52:8e:14,MSK-PPK-E-FL13_3-AP66,10.14.51.109
70:b3:17:52:a7:88,MSK-PPK-E-FL13_1-AP57,10.14.50.229
00:2c:c8:99:5e:04,MSK-PPK-E-FL16_1-AP08,10.14.48.23
2c:33:11:80:79:76,MSK-PPK-E-FL16_1-AP59,10.14.48.7
70:b3:17:41:15:d4,MSK-PPK-E-FL14_1-AP10,10.14.50.37
00:2c:c8:99:58:5a,MSK-PPK-E-FL16_4-AP51,10.14.48.207
2c:33:11:80:72:f8,MSK-PPK-E-FL16_4-AP48,10.14.48.206
2c:33:11:ed:45:9a,MSK-PPK-E-FL16_1-AP11,10.14.48.19
2c:33:11:80:79:b8,MSK-PPK-E-FL16_2-AP38,10.14.49.7
2c:33:11:85:dc:58,MSK-PPK-E-FL16_4-AP52,10.14.48.195
2c:33:11:80:6d:40,MSK-PPK-E-FL16_4-AP45,10.14.48.199
2c:33:11:80:79:b4,MSK-PPK-E-FL16_4-AP60,10.14.48.198
2c:33:11:ed:41:40,MSK-PPK-E-FL16_2-AP39,10.14.49.2
f4:db:e6:e3:bb:80,MSK-PPK-E-FL14_1-AP13,10.14.50.60
2c:33:11:85:df:80,MSK-PPK-E-FL16_1-AP88,10.14.48.22
2c:33:11:85:dc:e2,MSK-PPK-E-FL16_4-AP53,10.14.48.203
70:b3:17:52:af:9a,MSK-PPK-E-FL14_1-AP51,10.14.50.57
f4:db:e6:f1:41:50,MSK-PPK-E-FL14_1-AP41,10.14.50.49
70:b3:17:0c:a0:50,MSK-PPK-E-FL14_1-AP55,10.14.50.41
70:b3:17:41:1a:60,MSK-PPK-E-FL14_1-AP16_NEW,10.14.50.53
70:b3:17:a2:99:bc,MSK-PPK-E-FL14_1-AP37,10.14.50.44
70:b3:17:52:90:d8,MSK-PPK-E-FL14_1-AP36,10.14.50.33
f4:db:e6:e3:a3:36,MSK-PPK-E-FL14_1-AP50,10.14.50.61
f4:db:e6:e3:bb:70,MSK-PPK-E-FL14_1-AP08,10.14.50.1
70:b3:17:41:18:b6,MSK-PPK-E-FL14_1-AP14,10.14.50.52
70:b3:17:52:af:84,MSK-PPK-E-FL14_1-AP38,10.14.50.45
f4:db:e6:f4:e9:56,MSK-PPK-E-FL14_1-AP57,10.14.50.36
00:2c:c8:99:5e:3c,MSK-PPK-E-FL17-AP02,10.14.49.6
2c:33:11:80:6d:52,MSK-PPK-E-FL17-AP04,10.14.49.10
70:b3:17:52:ba:66,MSK-PPK-E-FL13_1-AP41,10.14.50.244
70:b3:17:24:42:08,MSK-PPK-E-FL13_3-AP59,10.14.51.104
f4:db:e6:e3:a6:46,MSK-PPK-E-FL03_4-AP18,10.14.61.91
f4:db:e6:e3:b5:30,MSK-PPK-E-FL03_4-AP79,10.14.61.90
70:b3:17:41:33:aa,MSK-PPK-E-FL03_1-AP54,10.14.60.162
28:ac:9e:d2:d6:ce,MSK-PPK-E-FL03_2-AP93,10.14.60.223
00:2c:c8:99:5e:44,MSK-PPK-E-FL16_3-AP67,10.14.48.134
2c:33:11:80:6d:f6,MSK-PPK-E-FL16_3-AP74,10.14.48.142
2c:33:11:ed:40:a6,MSK-PPK-E-FL16_3-AP01,10.14.48.131
08:96:ad:9d:4a:ec,MSK-PPK-E-FL16_3-AP68,10.14.48.135
2c:33:11:80:72:ec,MSK-PPK-E-FL16_3-AP05,10.14.48.139
2c:33:11:80:79:ba,MSK-PPK-E-FL16_3-AP65,10.14.48.143
38:0e:4d:bf:53:f2,MSK-PPK-E-FL01-AP.53F2,10.14.62.9
70:70:8b:ef:23:24,MSK-PPK-E-FL01-AP.2324,10.14.62.5
38:0e:4d:93:92:e0,MSK-PPK-E-FL01-AP.92E0,10.14.62.8
38:0e:4d:bf:4b:cc,MSK-PPK-E-FL01-AP.4BCC,10.14.62.1
70:b3:17:24:42:b2,MSK-PPK-E-FL08-AP80,10.14.56.23
70:b3:17:41:10:88,MSK-PPK-E-FL08-AP37,10.14.55.216
70:b3:17:52:8e:16,MSK-PPK-E-FL08-AP40,10.14.55.217
70:b3:17:41:1c:34,MSK-PPK-E-FL08-AP75,10.14.56.22
70:b3:17:41:1a:f8,MSK-PPK-E-FL08-AP58,10.14.56.87
70:b3:17:0c:9f:06,MSK-PPK-E-FL10-AP88,10.14.53.155
f4:db:e6:f1:4f:d6,MSK-PPK-E-FL10-AP26,10.14.53.154
70:b3:17:0c:a0:1e,MSK-PPK-E-FL10-AP34,10.14.53.214
f4:db:e6:e3:cd:4a,MSK-PPK-E-FL10-AP52,10.14.54.88
70:b3:17:0c:a0:12,MSK-PPK-E-FL10-AP63,10.14.54.89
f4:db:e6:e3:b5:64,MSK-PPK-E-FL11-AP14,10.14.52.151
70:b3:17:41:18:b0,MSK-PPK-E-FL04-AP36,10.14.59.152
f4:db:e6:ca:22:2a,MSK-PPK-E-FL04-AP61,10.14.60.90
f4:db:e6:e3:b5:5e,MSK-PPK-E-FL04-AP29,10.14.60.91
f4:db:e6:f4:f6:14,MSK-PPK-E-FL04-AP15,10.14.59.213
f4:db:e6:f1:41:4e,MSK-PPK-E-FL04-AP05,10.14.59.212
70:b3:17:41:18:ac,MSK-PPK-E-FL05-AP37,10.14.58.217
70:b3:17:52:8e:1a,MSK-PPK-E-FL05-AP75,10.14.59.21
f4:db:e6:f4:f6:0e,MSK-PPK-E-FL06-AP61,10.14.58.89
f4:db:e6:e3:cd:54,MSK-PPK-E-FL12-AP75,10.14.52.26
f4:db:e6:f4:f0:46,MSK-PPK-E-FL12-AP40,10.14.51.216
f4:db:e6:e3:cd:48,MSK-PPK-E-FL12-AP82,10.14.52.23
70:b3:17:41:1a:78,MSK-PPK-E-FL07-AP77,10.14.57.23
70:b3:17:52:ba:60,MSK-PPK-E-FL07-AP71,10.14.57.22
70:b3:17:a2:8d:24,MSK-PPK-E-FL07-AP29,10.14.56.215
f4:db:e6:e3:b5:5c,MSK-PPK-E-FL07-AP14,10.14.56.151
2c:33:11:80:6d:dc,MSK-PPK-E-FL16-AP49,10.14.48.215
70:b3:17:52:85:3e,MSK-PPK-E-FL03-AP86,10.14.60.163
f4:db:e6:e3:cd:58,MSK-PPK-E-FL12-AP05,10.14.52.34
70:b3:17:41:15:da,MSK-PPK-E-FL12-AP06,10.14.52.35
70:b3:17:0c:a0:1a,MSK-PPK-E-FL12-AP07,10.14.51.148
f4:db:e6:f1:4f:d4,MSK-PPK-E-FL12-AP08,10.14.51.152
bc:26:c7:92:2d:fe,MSK-PPK-E-FL12-AP13,10.14.51.168
bc:26:c7:92:2e:1e,MSK-PPK-E-FL12-AP15,10.14.51.165
70:b3:17:41:16:08,MSK-PPK-E-FL12-AP16,10.14.51.156
70:b3:17:41:16:0c,MSK-PPK-E-FL12-AP17,10.14.51.157
70:b3:17:52:85:4c,MSK-PPK-E-FL12-AP18,10.14.51.164
f4:db:e6:e3:bb:7c,MSK-PPK-E-FL12-AP25,10.14.51.160
2c:33:11:ed:41:4c,MSK-PPK-E-FL12-AP31,10.14.51.229
bc:26:c7:f4:2f:38,MSK-PPK-E-FL12-AP32,10.14.51.228
bc:26:c7:f4:2f:44,MSK-PPK-E-FL12-AP35,10.14.51.224
70:b3:17:41:15:ee,MSK-PPK-E-FL12-AP43,10.14.51.220
70:b3:17:41:15:f4,MSK-PPK-E-FL12-AP49,10.14.52.107
70:7d:b9:56:7e:a6,MSK-PPK-E-FL12-AP52,10.14.52.99
70:b3:17:41:1b:d4,MSK-PPK-E-FL12-AP54,10.14.52.98
70:b3:17:41:15:fa,MSK-PPK-E-FL12-AP55,10.14.52.103
70:b3:17:41:15:e6,MSK-PPK-E-FL12-AP57,10.14.52.106
70:b3:17:41:18:b4,MSK-PPK-E-FL12-AP59,10.14.52.90
70:b3:17:41:1a:68,MSK-PPK-E-FL12-AP60,10.14.52.91
70:b3:17:52:8b:0c,MSK-PPK-E-FL12-AP66,10.14.52.95
70:b3:17:52:8f:a4,MSK-PPK-E-FL12-AP70,10.14.52.10
70:b3:17:a2:8e:64,MSK-PPK-E-FL12-AP74,10.14.52.27
70:b3:17:52:8e:22,MSK-PPK-E-FL12-AP83,10.14.52.31
b0:8b:cf:b9:d2:c4,MSK-PPK-E-FL12-AP87,10.14.51.221
70:b3:17:41:15:44,MSK-PPK-E-FL11-AP53,10.14.53.90
70:b3:17:52:a7:7c,MSK-PPK-E-FL11-AP52,10.14.53.91
70:b3:17:52:8a:62,MSK-PPK-E-FL11-AP60,10.14.53.94
f4:db:e6:e3:cd:c2,MSK-PPK-E-FL11-AP63,10.14.53.99
70:7d:b9:56:94:88,MSK-PPK-E-FL11-AP69,10.14.53.102
f4:db:e6:e3:b5:56,MSK-PPK-E-FL06-AP13,10.14.57.150
f4:db:e6:f1:41:2e,MSK-PPK-E-FL06-AP21,10.14.57.151
2c:33:11:80:79:b2,MSK-PPK-E-FL02-AP72-CH,10.14.61.6
2c:33:11:ed:40:9a,MSK-PPK-E-FL02-AP68-CH,10.14.61.3
08:96:ad:9d:4a:e2,MSK-PPK-E-FL02-AP73-CH,10.14.61.2
70:b3:17:a2:8d:00,MSK-PPK-E-FL11-AP42,10.14.52.218
70:b3:17:52:a7:84,MSK-PPK-E-FL11-AP37,10.14.52.219
2c:33:11:80:6e:44,MSK-PPK-E-FL02-AP67-CH,10.14.61.10
2c:33:11:85:df:84,MSK-PPK-E-FL02-AP71-CH,10.14.61.14
b0:8b:cf:f9:52:5a,MSK-PPK-E-FL03-AP41,10.14.61.58
2c:33:11:85:e2:a6,MSK-PPK-E-FL02-AP63-CH,10.14.61.11
f4:db:e6:ca:22:28,MSK-PPK-E-FL09-AP60,10.14.55.88
f4:db:e6:ca:22:26,MSK-PPK-E-FL09-AP63,10.14.55.89
70:b3:17:52:8e:1c,MSK-PPK-E-FL09-AP21,10.14.54.153
70:b3:17:52:8e:1e,MSK-PPK-E-FL09-AP10,10.14.54.152
70:b3:17:41:15:46,AP70B3.1741.1546,10.14.53.134
70:b3:17:52:af:98,MSK-PPK-E-FL13_2-AP24,10.14.51.24
50:1c:b0:50:30:f0,MSK-OP41-FL24-AP19,10.17.196.197
50:1c:b0:50:23:60,MSK-OP41-FL24-AP17,10.17.196.221
50:1c:b0:50:27:70,MSK-OP41-FL24-AP10,10.17.196.224
50:1c:b0:50:31:10,MSK-OP41-FL24-AP16,10.17.196.220
50:1c:b0:50:22:08,MSK-OP41-FL24-AP01,10.17.196.205
50:1c:b0:50:2f:f0,MSK-OP41-FL24-AP02,10.17.196.204
50:1c:b0:50:30:90,MSK-OP41-FL24-AP04,10.17.196.196
f4:db:e6:f1:41:3a,MSK-PPK-E-FL15_3-AP23,10.14.49.247
70:b3:17:52:90:3a,MSK-PPK-E-FL15_3-AP39,10.14.49.226
70:b3:17:41:18:c0,MSK-PPK-E-FL15_3-AP30,10.14.49.238
