88:66:39:03:c6:c0,BAR-8644-0197-CCC-AP06,100.106.191.247
04:b0:e7:49:e9:60,UPO12-B03-FL03_e960,10.14.4.8
88:66:39:04:08:e0,UPO12-B03-FL03_08e0,10.14.4.6
04:b0:e7:49:ec:e0,UPO12-B03-FL02-AP-12,10.14.4.137
bc:62:0e:2f:93:40,bc62-0e2f-9340,10.14.4.125
88:66:39:04:24:60,UPO12-B03-FL03_2460,10.14.4.9
88:66:39:03:fc:60,MSK-UPO-13-FL03_AP05,10.14.8.14
c0:bf:c0:a6:c8:40,MSK-UPO-13-FL01_AP11,10.14.8.19
04:b0:e7:49:f0:e0,MSK-UPO-13-FL03_AP16,10.14.8.8
88:66:39:04:25:80,MSK-UPO-13-FL03_AP14,10.14.8.11
00:06:f4:ca:68:b0,0006-f4ca-68b0,10.17.193.152
88:66:39:03:fc:80,MSK-UPO-13-FL03_AP13,10.14.8.6
88:66:39:04:24:a0,MSK-UPO-13-FL03_AP22,10.14.8.10
04:b0:e7:4a:16:a0,MSK-UPO-13-FL02_16A0,10.14.8.20
88:66:39:03:fb:40,MSK-UPO-13-FL03_AP04,10.14.8.9
04:b0:e7:49:e7:80,MSK-UPO-13-FL03_AP18,10.14.8.1
88:66:39:04:1b:c0,MSK-UPO-13-FL03_AP09,10.14.8.125
04:b0:e7:49:e9:e0,MSK-UPO-13-FL02_E9E0,10.14.8.23
88:66:39:03:ea:60,MSK-UPO-13-FL02_EA60,10.14.8.27
88:66:39:04:1a:a0,MSK-UPO-13-FL03_AP12,10.14.8.4
88:66:39:03:e9:c0,MSK-UPO-13-FL02_E9C0,10.14.8.25
88:66:39:04:25:e0,MSK-UPO-13-FL03_AP20,10.14.8.130
88:66:39:03:e5:e0,MSK-UPO-13-FL02_E5E0,10.14.8.32
70:79:90:bb:a5:60,MSK-UPO-13-FL01_AP01,10.14.8.26
04:b0:e7:49:e8:a0,MSK-UPO-13-FL02_E8A0,10.14.8.22
bc:62:0e:2f:8e:00,MSK-UPO-13-FL02_8E00,10.14.8.18
74:5a:aa:e4:27:40,MSK-UPO-13-FL02_2740,10.14.8.17
88:66:39:04:25:00,MSK-UPO-13-FL03_AP02,10.14.8.126
bc:62:0e:2f:79:e0,MSK-UPO-13-FL02_79E0,10.14.8.31
88:66:39:03:e9:a0,MSK-UPO-13-FL02_E9A0,10.14.8.24
c0:bf:c0:a6:ce:60,MSK-UPO-13-FL01_AP08,10.14.8.34
88:66:39:04:24:c0,MSK-UPO-13-FL03_AP03,10.14.8.131
88:66:39:04:1c:60,MSK-UPO-13-FL03_AP07,10.14.8.15
