BAR-8644-0197-CCC-AP06, 8866-3903-c6c0, 100.106.191.247 
UPO12-B03-FL03_e960, 04b0-e749-e960, 10.14.4.8 
UPO12-B03-FL03_08e0, 8866-3904-08e0, 10.14.4.6 
UPO12-B03-FL02-AP-12, 04b0-e749-ece0, 10.14.4.137 
bc62-0e2f-9340, bc62-0e2f-9340, 10.14.4.125 
UPO12-B03-FL03_2460, 8866-3904-2460, 10.14.4.9 
MSK-UPO-13-FL03_AP05, 8866-3903-fc60, 10.14.8.14 
MSK-UPO-13-FL01_AP11, c0bf-c0a6-c840, 10.14.8.19 
MSK-UPO-13-FL03_AP16, 04b0-e749-f0e0, 10.14.8.8 
MSK-UPO-13-FL03_AP14, 8866-3904-2580, 10.14.8.11 
MSK-UPO-13-FL03_AP01, 8866-3904-25a0, 10.14.8.2 
MSK-UPO-13-FL03_AP13, 8866-3903-fc80, 10.14.8.6 
MSK-UPO-13-FL03_AP22, 8866-3904-24a0, 10.14.8.10 
MSK-UPO-13-FL02_16A0, 04b0-e74a-16a0, 10.14.8.20 
MSK-UPO-13-FL03_AP04, 8866-3903-fb40, 10.14.8.9 
MSK-UPO-13-FL03_AP18, 04b0-e749-e780, 10.14.8.1 
MSK-UPO-13-FL03_AP09, 8866-3904-1bc0, 10.14.8.125 
MSK-UPO-13-FL02_E9E0, 04b0-e749-e9e0, 10.14.8.23 
MSK-UPO-13-FL02_EA60, 8866-3903-ea60, 10.14.8.27 
MSK-UPO-13-FL03_AP12, 8866-3904-1aa0, 10.14.8.4 
MSK-UPO-13-FL02_E9C0, 8866-3903-e9c0, 10.14.8.25 
MSK-UPO-13-FL03_AP20, 8866-3904-25e0, 10.14.8.130 
MSK-UPO-13-FL02_E5E0, 8866-3903-e5e0, 10.14.8.32 
MSK-UPO-13-FL01_AP01, 7079-90bb-a560, 10.14.8.26 
MSK-UPO-13-FL02_E8A0, 04b0-e749-e8a0, 10.14.8.22 
MSK-UPO-13-FL02_8E00, bc62-0e2f-8e00, 10.14.8.18 
MSK-UPO-13-FL02_2740, 745a-aae4-2740, 10.14.8.17 
MSK-UPO-13-FL03_AP02, 8866-3904-2500, 10.14.8.126 
MSK-UPO-13-FL02_79E0, bc62-0e2f-79e0, 10.14.8.31 
MSK-UPO-13-FL02_E9A0, 8866-3903-e9a0, 10.14.8.24 
MSK-UPO-13-FL01_AP08, c0bf-c0a6-ce60, 10.14.8.34 
MSK-UPO-13-FL03_AP03, 8866-3904-24c0, 10.14.8.131 
MSK-UPO-13-FL03_AP07, 8866-3904-1c60, 10.14.8.15 
MSK-UPO-13-FL03_AP25, 04b0-e749-f100, 10.14.8.128 
MSK-UPO-13-FL03_AP17, 04b0-e749-f140, 10.14.8.12 
MSK-UPO-13-FL03_AP15, 04b0-e749-ec00, 10.14.8.127 
MSK-UPO-13-FL03_AP23, 04b0-e749-f0c0, 10.14.8.3 
MSK-UPO-13-FL03_AP11, 8866-3904-1b00, 10.14.8.132 
MSK-UPO-13-FL02_EBC0, 8866-3903-ebc0, 10.14.8.36 
MSK-UPO-13-FL01_AP02, 7079-90bb-a540, 10.14.8.39 
MSK-UPO-13-FL02_E5A0, 8866-3903-e5a0, 10.14.8.42 
MSK-UPO-13-FL02_E120, 8866-3903-e120, 10.14.8.43 
MSK-UPO-13-FL01_AP05, c0bf-c0a6-c920, 10.14.8.35 
MSK-UPO-13-FL01_AP06, c0bf-c0a6-cda0, 10.14.8.28 
MSK-UPO-13-FL01_AP10, c0bf-c0a6-cac0, 10.14.8.21 
MSK-UPO-13-FL02_96A0, bc62-0e2f-96a0, 10.14.8.41 
MSK-UPO-13-FL03_AP10, 8866-3904-1c40, 10.14.8.5 
MSK-UPO-13-FL01_AP07, c0bf-c0a6-ce00, 10.14.8.29 
MSK-UPO-13-FL01_AP04, 7079-90bb-a580, 10.14.8.44 
MSK-UPO-13-FL01_AP03, c0bf-c0a6-c720, 10.14.8.30 
MSK-UPO-13-FL02_E580, 8866-3903-e580, 10.14.8.38 
MSK-UPO-13-FL03_AP08, 8866-3904-1ba0, 10.14.8.129 
MSK-UPO-13-FL02_E140, 8866-3903-e140, 10.14.8.37 
MSK-UPO-13-FL03_AP19, 8866-3904-24e0, 10.14.8.134 
MSK-UPO-13-FL02_EBE0, 8866-3903-ebe0, 10.14.8.40 
MSK-UPO-13-FL03_AP24, 04b0-e749-f0a0, 10.14.8.7 
MSK-UPO-13-FL01_AP09, c0bf-c0a6-c680, 10.14.8.33 
